Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,enr,ABRAHAM LINCOLN HIGH SCHOOL,All,33
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,adm,ABRAHAM LINCOLN HIGH SCHOOL,All,72
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,app,ABRAHAM LINCOLN HIGH SCHOOL,All,123
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,enr,ACAD FOR ACADEMIC EXCELLENCE,White,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,adm,ACAD FOR ACADEMIC EXCELLENCE,White,3
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,app,ACAD FOR ACADEMIC EXCELLENCE,White,7
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,enr,ACAD FOR ACADEMIC EXCELLENCE,Asian,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,adm,ACAD FOR ACADEMIC EXCELLENCE,Asian,3
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,app,ACAD FOR ACADEMIC EXCELLENCE,Asian,5
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,enr,ACAD FOR ACADEMIC EXCELLENCE,Hispanic/ Latino,4
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,adm,ACAD FOR ACADEMIC EXCELLENCE,Hispanic/ Latino,5
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,app,ACAD FOR ACADEMIC EXCELLENCE,Hispanic/ Latino,9
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,enr,ACAD FOR ACADEMIC EXCELLENCE,All,9
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,adm,ACAD FOR ACADEMIC EXCELLENCE,All,13
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,app,ACAD FOR ACADEMIC EXCELLENCE,All,25
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,enr,ACADEMIA AVANCE CHARTER SCHOOL,Hispanic/ Latino,7
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,adm,ACADEMIA AVANCE CHARTER SCHOOL,Hispanic/ Latino,10
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,app,ACADEMIA AVANCE CHARTER SCHOOL,Hispanic/ Latino,31
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,enr,ACADEMIA AVANCE CHARTER SCHOOL,All,7
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,adm,ACADEMIA AVANCE CHARTER SCHOOL,All,11
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,app,ACADEMIA AVANCE CHARTER SCHOOL,All,32
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,enr,ACADEMIC LEADERSHIP COMMUNITY,Hispanic/ Latino,9
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,adm,ACADEMIC LEADERSHIP COMMUNITY,Hispanic/ Latino,13
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,app,ACADEMIC LEADERSHIP COMMUNITY,Hispanic/ Latino,26
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,enr,ACADEMIC LEADERSHIP COMMUNITY,All,10
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,adm,ACADEMIC LEADERSHIP COMMUNITY,All,14
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,app,ACADEMIC LEADERSHIP COMMUNITY,All,28
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,enr,ACADEMIES EDUCATION/EMPOWERMNT,Asian,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,adm,ACADEMIES EDUCATION/EMPOWERMNT,Asian,6
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,app,ACADEMIES EDUCATION/EMPOWERMNT,Asian,11
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,enr,ACADEMIES EDUCATION/EMPOWERMNT,Hispanic/ Latino,8
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,adm,ACADEMIES EDUCATION/EMPOWERMNT,Hispanic/ Latino,12
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,app,ACADEMIES EDUCATION/EMPOWERMNT,Hispanic/ Latino,19
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,enr,ACADEMIES EDUCATION/EMPOWERMNT,African American,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,adm,ACADEMIES EDUCATION/EMPOWERMNT,African American,6
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,app,ACADEMIES EDUCATION/EMPOWERMNT,African American,12
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,enr,ACADEMIES EDUCATION/EMPOWERMNT,All,12
