geoid,name,B19013001,"B19013001, Error"
16000US0607470,"Bonny Doon, CA",91394,8339
16000US0607498,"Bonsall, CA",78493,8292
16000US0607512,"Boonville, CA",36979,6959
16000US0607525,"Bootjack, CA",43750,14118
16000US0607568,"Boron, CA",29896,17029
16000US0607578,"Boronda, CA",33712,18100
16000US0607596,"Borrego Springs, CA",34046,16751
16000US0607624,"Bostonia, CA",41769,4294
16000US0607652,"Boulder Creek, CA",81731,10683
16000US0607694,"Boulevard, CA",0,0
16000US0607750,"Bowles, CA",0,0
16000US0607848,"Boyes Hot Springs, CA",67983,17984
16000US0607946,"Bradbury, CA",130625,43878
16000US0607974,"Bradley, CA",54375,44889
16000US0608058,"Brawley, CA",40745,4544
16000US0608100,"Brea, CA",85555,4219
16000US0608142,"Brentwood, CA",94130,4854
16000US0608172,"Bret Harte, CA",30089,7903
16000US0608240,"Bridgeport, CA",49776,36921
16000US0608310,"Brisbane, CA",91127,14873
16000US0608338,"Broadmoor, CA",99512,18175
16000US0608478,"Brookdale, CA",66436,32621
16000US0608530,"Brooktrails, CA",46636,13552
16000US0608680,"Buckhorn, CA",45357,14778
16000US0608716,"Buck Meadows, CA",0,0
16000US0608744,"Bucks Lake, CA",0,0
16000US0608758,"Buellton, CA",71932,20578
16000US0608786,"Buena Park, CA",70341,3357
16000US0608828,"Buena Vista, CA",59500,27438
16000US0608954,"Burbank, CA",67317,2731
16000US0608968,"Burbank, CA",67177,7995
16000US0609066,"Burlingame, CA",102443,10182
16000US0609122,"Burney, CA",33750,5570
16000US0609150,"Burnt Ranch, CA",55972,20172
16000US0609310,"Butte Creek Canyon, CA",87651,49422
16000US0609318,"Butte Meadows, CA",0,0
16000US0609324,"Butte Valley, CA",59432,44987
16000US0609332,"Buttonwillow, CA",34352,6091
16000US0609346,"Byron, CA",58125,25604
16000US0609353,"Bystrom, CA",31311,7874
16000US0609360,"Cabazon, CA",33890,5389
16000US0609598,"Calabasas, CA",111111,12311
16000US0609710,"Calexico, CA",34734,4463
16000US0609780,"California City, CA",48776,8232
16000US0609822,"California Hot Springs, CA",0,0
16000US0609834,"California Pines, CA",0,0
16000US0609864,"Calimesa, CA",46070,4432
16000US0609878,"Calipatria, CA",34800,7294
16000US0609892,"Calistoga, CA",60534,15885
16000US0609948,"Callender, CA",80240,7495
16000US0609990,"Calpella, CA",53250,22714
16000US0610004,"Calpine, CA",0,0
16000US0610032,"Calwa, CA",35000,26680
16000US0610042,"Camanche North Shore, CA",65565,24329
16000US0610044,"Camanche Village, CA",75463,11071
16000US0610046,"Camarillo, CA",88125,3830
16000US0610074,"Cambria, CA",59657,4961
16000US0610088,"Cambrian Park, CA",106037,17510
16000US0610256,"Cameron Park, CA",74564,4177
16000US0610270,"Camino, CA",74183,8820
16000US0610301,"Camino Tassajara, CA",175382,31563
16000US0610345,"Campbell, CA",103704,3512
16000US0610494,"Camp Nelson, CA",0,0
16000US0610508,"Campo, CA",54632,13954
16000US0610559,"Camp Pendleton North, CA",38789,8994
16000US0610561,"Camp Pendleton South, CA",42212,4964
16000US0610676,"Camptonville, CA",42500,24653
16000US0610732,"Canby, CA",42250,7130
16000US0610816,"Cantua Creek, CA",32368,7505
16000US0610914,"Canyondam, CA",0,0
16000US0610928,"Canyon Lake, CA",84015,7703
16000US0611040,"Capitola, CA",73935,4134
16000US0611166,"Caribou, CA",0,0
16000US0611194,"Carlsbad, CA",97145,4338
16000US0611250,"Carmel-by-the-Sea, CA",81607,18668
16000US0611324,"Carmel Valley Village, CA",90813,17586
16000US0611376,"Carmet, CA",0,0
16000US0611390,"Carmichael, CA",58300,2456
16000US0611418,"Carnelian Bay, CA",94375,44218
16000US0611446,"Carpinteria, CA",72901,12285
16000US0611481,"Carrick, CA",0,0
16000US0611530,"Carson, CA",73829,3039
16000US0611600,"Cartago, CA",0,0
16000US0611614,"Caruthers, CA",44649,7714
16000US0611656,"Casa Conejo, CA",96932,8987
16000US0611691,"Casa de Oro-Mount Helix, CA",81238,4922
16000US0611754,"Casmalia, CA",71607,16311
16000US0611768,"Caspar, CA",54766,23029
16000US0611782,"Cassel, CA",32600,23920
16000US0611796,"Castaic, CA",107200,4705
16000US0611915,"Castle Hill, CA",158125,95811
16000US0611964,"Castro Valley, CA",87204,5108
16000US0611978,"Castroville, CA",50949,5885
16000US0612048,"Cathedral City, CA",41696,1994
16000US0612062,"Catheys Valley, CA",57163,9682
16000US0612132,"Cayucos, CA",58365,6720
16000US0612146,"Cazadero, CA",41250,17957
16000US0612300,"Cedar Ridge, CA",55662,10301
16000US0612314,"Cedar Slope, CA",0,0
16000US0612328,"Cedarville, CA",31250,22641
16000US0612412,"Centerville, CA",53750,50947
16000US0612524,"Ceres, CA",49518,2535
16000US0612552,"Cerritos, CA",95373,4639
16000US0612594,"Chalfant, CA",67386,38118
16000US0612612,"Challenge-Brownsville, CA",53088,26307
