Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,app,ACADEMIA AVANCE CHARTER SCHOOL,Hispanic/ Latino,13
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,enr,ACADEMIA AVANCE CHARTER SCHOOL,All,
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,adm,ACADEMIA AVANCE CHARTER SCHOOL,All,
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,app,ACADEMIA AVANCE CHARTER SCHOOL,All,14
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,enr,ACADEMIC LEADERSHIP COMMUNITY,All,
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,adm,ACADEMIC LEADERSHIP COMMUNITY,All,
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,app,ACADEMIC LEADERSHIP COMMUNITY,All,8
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,enr,ACADEMIES EDUCATION/EMPOWERMNT,Hispanic/ Latino,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,adm,ACADEMIES EDUCATION/EMPOWERMNT,Hispanic/ Latino,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,app,ACADEMIES EDUCATION/EMPOWERMNT,Hispanic/ Latino,8
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,enr,ACADEMIES EDUCATION/EMPOWERMNT,African American,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,adm,ACADEMIES EDUCATION/EMPOWERMNT,African American,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,app,ACADEMIES EDUCATION/EMPOWERMNT,African American,5
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,enr,ACADEMIES EDUCATION/EMPOWERMNT,All,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,adm,ACADEMIES EDUCATION/EMPOWERMNT,All,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,app,ACADEMIES EDUCATION/EMPOWERMNT,All,16
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,enr,ACADEMY OF MEDICAL ARTS AT CARSON,Asian,
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,adm,ACADEMY OF MEDICAL ARTS AT CARSON,Asian,
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,app,ACADEMY OF MEDICAL ARTS AT CARSON,Asian,8
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,enr,ACADEMY OF MEDICAL ARTS AT CARSON,All,
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,adm,ACADEMY OF MEDICAL ARTS AT CARSON,All,
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,app,ACADEMY OF MEDICAL ARTS AT CARSON,All,14
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,enr,ACADEMY OF SCIENTIFIC EXPLORAT,Hispanic/ Latino,
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,adm,ACADEMY OF SCIENTIFIC EXPLORAT,Hispanic/ Latino,
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,app,ACADEMY OF SCIENTIFIC EXPLORAT,Hispanic/ Latino,8
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,enr,ACADEMY OF SCIENTIFIC EXPLORAT,All,
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,adm,ACADEMY OF SCIENTIFIC EXPLORAT,All,
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,app,ACADEMY OF SCIENTIFIC EXPLORAT,All,9
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,enr,ACADEMY OF THE CANYONS,Asian,3
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,adm,ACADEMY OF THE CANYONS,Asian,3
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,app,ACADEMY OF THE CANYONS,Asian,17
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,enr,ACADEMY OF THE CANYONS,Hispanic/ Latino,
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,adm,ACADEMY OF THE CANYONS,Hispanic/ Latino,3
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,app,ACADEMY OF THE CANYONS,Hispanic/ Latino,9
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,enr,ACADEMY OF THE CANYONS,All,4
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,adm,ACADEMY OF THE CANYONS,All,7
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,app,ACADEMY OF THE CANYONS,All,33
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,enr,ACADEMY OF THE REDWOODS,All,
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,adm,ACADEMY OF THE REDWOODS,All,
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,app,ACADEMY OF THE REDWOODS,All,7
ACADEMY SCIENCE & ENGINEERING54626,Los Angeles,Los Angeles,enr,ACADEMY SCIENCE & ENGINEERING,Hispanic/ Latino,
ACADEMY SCIENCE & ENGINEERING54626,Los Angeles,Los Angeles,adm,ACADEMY SCIENCE & ENGINEERING,Hispanic/ Latino,
ACADEMY SCIENCE & ENGINEERING54626,Los Angeles,Los Angeles,app,ACADEMY SCIENCE & ENGINEERING,Hispanic/ Latino,9
ACADEMY SCIENCE & ENGINEERING54626,Los Angeles,Los Angeles,enr,ACADEMY SCIENCE & ENGINEERING,All,
ACADEMY SCIENCE & ENGINEERING54626,Los Angeles,Los Angeles,adm,ACADEMY SCIENCE & ENGINEERING,All,
ACADEMY SCIENCE & ENGINEERING54626,Los Angeles,Los Angeles,app,ACADEMY SCIENCE & ENGINEERING,All,10
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,San Francisco,enr,ACADEMY-SAN FRAN @ MCATEER,Asian,
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,San Francisco,adm,ACADEMY-SAN FRAN @ MCATEER,Asian,
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,San Francisco,app,ACADEMY-SAN FRAN @ MCATEER,Asian,7
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,San Francisco,enr,ACADEMY-SAN FRAN @ MCATEER,All,
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,San Francisco,adm,ACADEMY-SAN FRAN @ MCATEER,All,
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,San Francisco,app,ACADEMY-SAN FRAN @ MCATEER,All,10
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,enr,ACALANES HIGH SCHOOL,White,5
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,adm,ACALANES HIGH SCHOOL,White,9
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,app,ACALANES HIGH SCHOOL,White,45
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,enr,ACALANES HIGH SCHOOL,Asian,4
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,adm,ACALANES HIGH SCHOOL,Asian,7
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,app,ACALANES HIGH SCHOOL,Asian,27
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,enr,ACALANES HIGH SCHOOL,Hispanic/ Latino,
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,adm,ACALANES HIGH SCHOOL,Hispanic/ Latino,
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,app,ACALANES HIGH SCHOOL,Hispanic/ Latino,8
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,enr,ACALANES HIGH SCHOOL,All,10
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,adm,ACALANES HIGH SCHOOL,All,18
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,app,ACALANES HIGH SCHOOL,All,83
ADELANTO HIGH SCHOOL54672,Adelanto,San Bernardino,enr,ADELANTO HIGH SCHOOL,All,
ADELANTO HIGH SCHOOL54672,Adelanto,San Bernardino,adm,ADELANTO HIGH SCHOOL,All,
ADELANTO HIGH SCHOOL54672,Adelanto,San Bernardino,app,ADELANTO HIGH SCHOOL,All,8
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,enr,ADOLFO CAMARILLO HIGH SCHOOL,White,
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,adm,ADOLFO CAMARILLO HIGH SCHOOL,White,
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,app,ADOLFO CAMARILLO HIGH SCHOOL,White,15
